Year  terrorism  terrorist  occupation  development  narcotic  violation  democracy
2000      0          0          0            0          0          0          0
2001      0          0          0            0          0          0          0
2002      0          0          0            0          0          0          0
2003      0          0          0            0          0          0          0
2004      0          0          0            0          0          0          0
2005      2          0          0            0          0          0          6
2006      12         0          0            0          1          0          11
2007      44         6          2            1          2          3          38
2008      57         12         4            14         10         7          146
2009      134        6          15           29         12         3          98
2010      385        131        65           68         42         261        178
2011      541        63         50           121        49         74         490
2012      545        45         84           94         30         65         532
2013      1629	     955        148          261        49         156        1902
2014      3592       543        369          416        147        365        2118
